City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,ust-nera,64.5667,143.2,1.23,82,91,1.41,RU,1714866765
168,igrim,63.1906,64.4162,-7.35,85,27,5.5,RU,1714866988
169,motygino,58.1831,94.7592,2.1,73,29,3.13,RU,1714866988
170,rio grande,-32.035,-52.0986,20.06,95,82,5.72,BR,1714866988
171,rudbar,30.15,62.6,27.63,29,38,2.99,AF,1714866988
172,cabo san lucas,22.8909,-109.9124,29.78,54,39,5.6,MX,1714866628
173,pingliang,35.5392,106.6861,12.91,69,1,0.65,CN,1714866989
174,lihue,21.9789,-159.3672,27.58,75,75,7.2,US,1714866771
175,al jawf,29.5,38.75,20.42,30,3,5.28,SA,1714866989
176,nova sintra,14.8667,-24.7167,23.54,79,1,8.11,CV,1714866918
177,indian river estates,27.3645,-80.3098,26.13,73,20,5.14,US,1714866990
178,al wafrah,28.6392,47.9306,25.26,43,0,3.22,KW,1714866990
179,uturoa,-16.7333,-151.4333,27.91,70,19,7.27,PF,1714866990
180,orimattila,60.8049,25.7296,9.1,74,91,3.03,FI,1714866990
181,baruun-urt,46.6806,113.2792,9.81,37,6,4.45,MN,1714866935
182,cutral-co,-38.9469,-69.2089,8.28,10,0,0.89,AR,1714866991
183,callao,-12.0667,-77.15,24.29,77,20,3.6,PE,1714866826
184,raub,3.7899,101.857,27.06,96,99,0.86,MY,1714866991
185,sisimiut,66.9395,-53.6735,-8.01,79,81,3.76,GL,1714866991
186,chernyshevskiy,63.0128,112.4714,-0.09,87,100,2.17,RU,1714866797
187,rabo de peixe,37.8,-25.5833,17.77,99,75,5.14,PT,1714866992
188,whakatane,-37.9585,176.9854,17.71,73,4,1.34,NZ,1714866992
189,sikka,22.4333,69.8333,27.7,74,100,6.54,IN,1714866992
190,pokrovo-prigorodnoye,52.6841,41.4175,5.32,55,20,3.56,RU,1714866992
191,bushehr,28.9684,50.8385,25.05,78,0,4.12,IR,1714866992
192,amahai,-3.3333,128.9167,28.33,75,82,0.54,ID,1714866993
193,mejit,10.2753,170.8646,27.56,80,100,7.96,MH,1714866993
194,itaituba,-4.2761,-55.9836,24.92,98,100,0.52,BR,1714866993
195,rongelap,11.1635,166.8941,27.39,79,88,7.48,MH,1714866993
196,pinon hills,34.4333,-117.6467,13.7,42,87,0.45,US,1714866711
197,syas'stroy,60.1367,32.5691,3.54,92,81,6.75,RU,1714866993
198,toliara,-23.35,43.6667,21.9,66,0,4.78,MG,1714866994
199,sitka,57.0531,-135.33,12.94,54,40,2.06,US,1714866994
200,mikhaylovskoye,51.8239,79.7172,11.89,75,100,1.46,RU,1714866994
201,hopewell,37.3043,-77.2872,16.6,93,100,4.26,US,1714866994
202,sinabang,2.4803,96.3801,27.08,84,100,1.23,ID,1714866995
203,egilsstadir,65.2653,-14.3948,5.95,93,75,1.54,IS,1714866995
204,margate,51.3813,1.3862,9.27,90,27,1.89,GB,1714866995
205,luderitz,-26.6481,15.1594,15.82,87,0,4.12,NA,1714866801
206,valdez,1.2492,-78.9831,26.83,84,59,2.86,EC,1714866996
207,remire-montjoly,4.9167,-52.2667,27.02,94,20,1.54,GF,1714866996
208,kavaratti,10.5669,72.642,29.42,69,66,3.45,IN,1714866996
209,tolanaro,-25.0319,46.9987,21.04,68,20,4.12,MG,1714866996
210,chui,-33.6971,-53.4616,18.37,93,88,5.19,UY,1714866996
211,brookings,44.3114,-96.7984,16.21,47,75,5.14,US,1714866757
212,rio blanco,18.8333,-97.15,20.72,77,53,5.17,MX,1714866762
213,bridgewater,44.3835,-64.5155,7.28,85,77,3.6,CA,1714866997
214,talnakh,69.4865,88.3972,-17.11,95,91,2.93,RU,1714866997
215,kerikeri,-35.2268,173.9474,15.57,86,100,2.88,NZ,1714866997
216,las trojes,14.0667,-85.9833,29.2,34,0,2.2,HN,1714866998
217,kingston,17.997,-76.7936,29.53,70,20,8.75,JM,1714866930
218,tual,-5.6667,132.75,27.42,87,95,10.51,ID,1714866803
219,sirte,31.2089,16.5887,17.95,65,0,1.77,LY,1714866998
220,dali,25.7,100.1833,14.69,59,99,2.05,CN,1714866998
221,pisco,-13.7,-76.2167,21.03,83,0,3.09,PE,1714866998
222,newman,37.3138,-121.0208,11.13,84,100,1.79,US,1714866866
223,palikir - national government center,6.9248,158.1611,30.47,79,100,5.14,FM,1714866795
224,vorgashor,67.5833,63.95,-17.85,100,99,1.66,RU,1714866999
225,patos de minas,-18.5789,-46.5181,18.39,50,2,2.01,BR,1714866999
